,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,PHP
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,amazon-pay-sdk-java,Java
31,amazon-pay-sdk-php,PHP
32,amazon-pay-sdk-python,Python
33,amazon-pay-sdk-ruby,Ruby
34,amazon-payment-files-tools,Kotlin
35,amazon-payments-magento-2-plugin,PHP
36,amazon-ray,Python
37,amazon-s3-gst-plugin,C
38,amazon-sidewalk-android-samples,
39,amazon-sidewalk-ios-samples,Swift
40,amazon-succinct-doc-representation,Python
41,amazon-template-library,C++
42,amazon-weak-ner-needle,Python
43,amigitenough,Go
44,amzn-drivers,C
45,amzn-ec2-ena-utilities,Python
46,app-platform,Kotlin
47,armbench,Python
48,augment-the-pairs-wacv2024,Python
49,autotrail,Python
50,aws-apigateway-client-lib,
51,aws-sigv4-signing-samples,Java
52,awsssmchaosrunner,Kotlin
53,basis-point-sets,Python
54,BayesPE,Python
55,buy-with-prime-cdk-constructs,TypeScript
56,buy-with-prime-monitoring-sample-cdk,TypeScript
57,chalet-charging-location-for-electric-trucks,Python
58,computer-vision-basics-in-microsoft-excel,
59,confident-sinkhorn-allocation,Jupyter Notebook
60,convolutional-handwriting-gan,Python
61,cosearcher,Python
62,credence-to-causal-estimation,Python
63,data-jack-knife,Java
64,debiased-balanced-interleaving,Jupyter Notebook
65,differential-privacy-bayesian-optimization,Python
66,distance-assistant,Python
67,drs-sample-android-app,Java
68,drs-sample-ios-app,Objective-C
69,emukit-playground,JavaScript
70,eslint-plugin-no-date-parsing,TypeScript
71,exoplayer-amazon-port,Java
72,explainable-text-vqa,
73,extremely-efficient-query-encoder,Python
74,faithful-data2text-cycle-training,Python
75,fashion-attribute-disentanglement,Python
76,fire-app-builder,Java
77,firetv-sample-touch-app,Java
78,ftv-integration-sdk-sample-app,Kotlin
79,ftv-livetv-sample-tv-app,Java
80,gameon-sample-game-unity,C#
81,gameon-starter-kit-unity,C#
82,git-commit-template,JavaScript
83,glad,JavaScript
84,golang-gitoperations,Go
85,halo-third-party-sdk-for-java,Java
86,halo-third-party-sdk-for-node-js,TypeScript
87,halo-third-party-sdk-for-python,Python
88,hawktracer,C++
89,image-misspell-coling2020,
90,image-to-recipe-transformers,Python
91,informative-diverse-hard-negative-sampling,Python
92,ion-cascading-config,Java
93,ion-object-mapper-dotnet,C#
94,jekyll-doc-project,HTML
95,kotlin-inject-anvil,Kotlin
96,kqr,
97,lib-3d-scene-viewer,TypeScript
98,login-with-amazon-oscommerce,PHP
99,login-with-amazon-wordpress,PHP
100,media3-external-port,
101,merlin-on-demand-callgraph,JavaScript
102,metalearn-leap,Python
103,milan,Scala
104,MonitoringCustomMetrics,Python
105,mrc-net-6d-pose,Python
106,multiconer-baseline,Python
107,multilingual-keyphrase-generation,Python
108,multimodal-affinities,Python
109,MXFusion,Python
110,nimbus-jose-jwt_aws-kms-extension,Java
111,node-jose_aws-kms-extension,TypeScript
112,openapi-swift-code-generate,Swift
113,orthogonal-additive-gaussian-processes,Python
114,oss-attribution-builder,TypeScript
115,oss-contribution-tracker,TypeScript
116,oss-dashboard,Ruby
117,pecos,Python
118,pretraining-or-self-training,Python
119,python-jose_aws-kms-extension,Python
120,rdma-core,C
121,refuel-open-domain-qa,Python
122,rete-thewebconf-2022,Python
123,rheoceros,Python
124,robotiq-gripper-interface,C++
125,selling-partner-api-docs,
126,selling-partner-api-models,Mustache
127,selling-partner-api-php-release,PHP
128,selling-partner-api-postman,
129,selling-partner-api-samples,Java
130,selling-partner-api-sdk,PHP
131,seqzero,Python
132,service-model-swift-code-generate,Swift
133,sid-provision,Python
134,sid-signing-tool,Python
135,sketch-constructor,JavaScript
136,smoke-aws,Swift
137,smoke-aws-credentials,Swift
138,smoke-aws-generate,Swift
139,smoke-aws-support,Swift
140,smoke-dynamodb,Swift
141,smoke-framework,Swift
142,smoke-framework-application-generate,Swift
143,smoke-framework-examples,Swift
144,smoke-http,Swift
145,sparse-vqvae,Python
146,ss-aga-kgc,Python
147,sto-transformer,Python
148,supply-chain-simulation-environment,Python
149,tiny-attribution-generator,TypeScript
150,traffic-quality-smart-pixel-loader,TypeScript
151,trans-encoder,Python
152,user-satisfaction-modeling,Python
153,workspace-resolver,JavaScript
154,ws-vae,Python
155,xfer,Python
156,zeek-plugin-bacnet,Zeek
157,zeek-plugin-enip,Zeek
158,zeek-plugin-profinet,Zeek
159,zeek-plugin-s7comm,Zeek
160,zeek-plugin-tds,Zeek
161,zero-shot-rlhr,Python
